"","Trachemys scripta (Thunberg In Schoepff, 1792)","Trachemys scripta elegans (Wied, 1838)","Trachemys decorata (Barbour & Carr, 1940)","Trachemys stejnegeri vicina (Barbour & Carr, 1940)","Pseudemys concinna floridana (Le Conte, 1830)","Trachemys stejnegeri Schmidt, 1928","Chrysemys Gray, 1844","Trachemys Agassiz, 1857","Trachemys decussata (Gray, 1831)"
"864cc6c0fffffff",1,0,0,0,0,0,0,0,0
"864c8994fffffff",1,0,0,0,0,0,0,0,0
"864cd42cfffffff",1,1,0,0,0,0,0,0,0
"864cd64b7ffffff",0,0,1,0,0,0,0,0,0
"864cd42f7ffffff",0,0,1,0,0,0,0,0,0
"864cc6c4fffffff",1,0,0,0,0,0,0,0,0
"864cd0977ffffff",0,0,1,0,0,0,0,0,0
"864cd42efffffff",0,1,1,1,0,0,0,0,0
"864cd42c7ffffff",1,1,0,0,0,0,0,0,0
"864cd420fffffff",0,0,0,1,0,0,0,0,0
"864cd421fffffff",0,0,1,0,0,0,0,0,0
"864cd55b7ffffff",0,0,1,1,0,0,0,0,0
"864cd42dfffffff",0,1,0,0,0,0,0,0,0
"864c89b07ffffff",0,0,0,1,0,0,0,0,0
"864cd422fffffff",0,0,1,0,0,0,0,0,0
"864cd5b77ffffff",0,0,0,0,1,1,0,0,0
"864cd4117ffffff",0,0,0,1,0,0,0,0,0
"864cf20efffffff",0,0,0,0,0,1,0,0,0
"864c89557ffffff",0,0,0,0,0,1,0,0,0
"864cd5cf7ffffff",0,0,0,1,0,0,0,0,0
"864cd5ca7ffffff",0,0,0,1,0,0,0,0,0
"864cd552fffffff",0,0,0,1,0,0,0,0,0
"864cd5c97ffffff",0,0,0,1,0,0,0,0,0
"864cc6077ffffff",0,0,0,0,0,1,0,0,0
"864cd4b17ffffff",1,0,0,0,0,0,0,0,0
"864cc6107ffffff",0,0,0,0,0,1,0,0,0
"864cd424fffffff",0,0,0,1,0,0,0,0,0
"864cd4277ffffff",0,0,0,1,0,0,0,0,0
"864cc602fffffff",0,1,0,0,0,0,0,0,0
"864cf3017ffffff",1,0,0,0,0,0,0,0,0
"864cc610fffffff",1,0,0,1,0,0,0,0,0
"864cd20b7ffffff",0,0,1,0,0,0,0,0,0
"864cd6677ffffff",0,0,1,0,0,0,0,0,0
"864cd219fffffff",0,0,1,0,0,0,0,0,0
"864cf3437ffffff",0,0,0,1,0,0,0,0,0
"864c88357ffffff",0,0,0,1,0,0,0,0,0
"864cd5cafffffff",0,0,0,1,0,0,0,0,0
"864cd08afffffff",0,0,0,1,0,0,0,0,0
"864cd425fffffff",0,0,1,0,0,0,0,0,0
"864cf3427ffffff",0,0,0,1,0,0,0,1,0
"864cc655fffffff",0,0,0,0,0,0,1,0,0
"864cc6ccfffffff",0,0,0,0,0,0,1,0,0
"864cd0907ffffff",0,0,0,0,0,0,1,0,0
"864cd660fffffff",0,0,1,0,0,0,1,0,0
"864c882c7ffffff",0,0,0,0,0,0,0,1,1
"864cd649fffffff",0,0,0,0,0,0,1,0,0
"864cf2407ffffff",0,0,0,1,0,0,0,0,0
"864c89877ffffff",0,0,0,1,0,0,0,0,0
