"","Var1","Freq"
"1","Cereus hexagonus",4
"2","Cereus jamacaru",1
"3","Consolea macracantha",14
"4","Consolea moniliformis",44
"5","Cylindropuntia caribaea",31
"6","Epiphyllum phyllanthus",1
"7","Harrisia divaricata",17
"8","Leptocereus paniculatus",12
"9","Leptocereus undulosus",7
"10","Leptocereus weingartianus",11
"11","Leuenbergeria bleo",2
"12","Leuenbergeria marcanoi",2
"13","Leuenbergeria portulacifolia",6
"14","Leuenbergeria quisqueyana",9
"15","Mammillaria prolifera",21
"16","Melocactus conoideus",1
"17","Melocactus intortus",14
"18","Melocactus lemairei",44
"19","Opuntia cochenillifera",7
"20","Opuntia cubensis",4
"21","Opuntia ficus-indica",1
"22","Opuntia repens",3
"23","Opuntia stricta",8
"24","Opuntia taylorii",9
"25","Pereskia aculeata",3
"26","Pilosocereus polygonus",19
"27","Pilosocereus royenii",6
"28","Rhipsalis parasitica",44
"29","Selenicereus megalanthus",1
"30","Selenicereus triangularis",9
"31","Selenicereus undatus",4
"32","Stenocereus fimbriatus",22
